layer_i,layer_j,matrix,model_variant,run_id,seed,source_experiment,task_family,token_scope,value
0,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
0,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.84977787733078
0,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.6211352944374084
0,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.4628264605998993
1,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.84977787733078
1,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
1,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7702202796936035
1,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.623803436756134
2,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.6211352944374084
2,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.7702202796936035
2,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
2,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8908316493034363
3,0,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.4628264605998993
3,1,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.623803436756134
3,2,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.8908316493034363
3,3,residual_state_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
0,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
0,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.04139331355690956
0,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.18608300387859344
0,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.12437267601490021
1,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.04139331355690956
1,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
1,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.25410476326942444
1,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.17554637789726257
2,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.18608300387859344
2,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.25410476326942444
2,2,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,1.0
2,3,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.3049142062664032
3,0,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.12437267601490021
3,1,update_cosine,baseline,cycleA-e1-baseline-seed-11,11,E1,maximum,final_nonpadding,0.17554637789726257
