condition,depth,layer,matched_parameter_control,near_zero_block_seed_count,near_zero_ff_seed_count,near_zero_sa_seed_count,negative_block_seed_count,negative_ff_seed_count,negative_sa_seed_count,reliable_near_zero_block,reliable_near_zero_ff,reliable_near_zero_sa,reliable_negative_block,reliable_negative_ff,reliable_negative_sa,repair_event_ci95_high,repair_event_ci95_low,repair_event_mean,repeated_repair,seed_n,task_family,utility_block_ci95_high,utility_block_ci95_low,utility_block_mean,utility_ff_ci95_high,utility_ff_ci95_low,utility_ff_mean,utility_sa_ci95_high,utility_sa_ci95_low,utility_sa_mean,width
depth12_width64,12,0,False,0,0,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.9850271344184875,0.29650261998176575,0.6086987257003784,0.08065333962440491,-0.004865653347223997,0.032810114324092865,0.8248090744018555,0.23381224274635315,0.4549872875213623,64
depth12_width64,12,1,False,0,0,0,1,1,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.2955300211906433,0.005186617374420166,0.12765464186668396,0.016497956588864326,-0.022357329726219177,0.0012380366679280996,0.21936340630054474,0.0007398508605547249,0.09986171871423721,64
depth12_width64,12,2,False,0,0,0,1,2,3,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.21722400188446045,-0.006479061208665371,0.08776737749576569,0.031125273555517197,-0.004492740146815777,0.012908585369586945,0.21131065487861633,-0.03446943685412407,0.06507408618927002,64
depth12_width64,12,3,False,0,0,0,0,1,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.6411787271499634,0.0960557833313942,0.3026078939437866,0.03220655024051666,-0.014124584384262562,0.008214356377720833,0.65803462266922,0.0743197351694107,0.29722949862480164,64
depth12_width64,12,4,False,0,0,0,1,2,1,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.13006296753883362,-0.010691920295357704,0.057209622114896774,0.011153608560562134,-0.006645618472248316,0.002253995044156909,0.14917752146720886,-0.006084349937736988,0.06384370476007462,64
depth12_width64,12,5,False,0,0,0,1,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.24365390837192535,0.011524508707225323,0.09603483974933624,0.012384052388370037,-0.017970198765397072,-0.0010621175169944763,0.2053617686033249,0.01373472809791565,0.08923493325710297,64
depth12_width64,12,6,False,0,0,1,1,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.045852478593587875,-0.0014874733751639724,0.025070181116461754,0.01161297969520092,-0.018822932615876198,-0.0009129848331212997,0.033545345067977905,0.011262001469731331,0.02338758111000061,64
depth12_width64,12,7,False,1,0,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.05515314266085625,0.01031487062573433,0.030715834349393845,0.014251617714762688,-0.00968201644718647,0.002141796052455902,0.046727925539016724,0.012759966775774956,0.029743945226073265,64
depth12_width64,12,8,False,0,1,0,0,2,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.05818610638380051,0.014731752686202526,0.03645893186330795,0.014316159300506115,-0.004579220898449421,0.0034814917016774416,0.05863870307803154,0.011363332159817219,0.032807935029268265,64
depth12_width64,12,9,False,0,0,0,0,0,0,False,False,False,False,False,False,0.0,0.0,0.0,False,5,maximum,0.04492530971765518,0.01420651189982891,0.02866988442838192,0.007360266055911779,0.003443721681833267,0.005193118937313557,0.037814825773239136,0.010960040614008904,0.022582395002245903,64
