family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,0,11,first__last,0.06321275694450984,-0.001002240685435633,0.0059737103331523635
60,0,22,first__last,-0.029677627449079105,0.0022603492136113344,-0.02847482675376038
60,0,33,first__last,0.06126106788093845,-0.0018867171253077685,-0.017504887453590832
60,0,44,first__last,-2.163297603779938,0.02907813193354135,-2.385563024385677
60,0,55,first__last,0.003482249181251973,-0.00021384275363137324,0.0007828142882014314
60,1,11,first__last,0.07284813277656213,0.012619262145987402,0.21012237136407444
60,1,22,first__last,0.4876359410545168,-0.0068679659549767775,0.29737350932943324
60,1,33,first__last,-0.08064781160016234,-0.010189891206876685,-0.01057016800235336
60,1,44,first__last,0.08956900209886953,0.06488659730336319,0.0004190477930630247
60,1,55,first__last,-0.046322393029307324,-0.0008017606916837395,-0.004369718212789545
60,2,11,first__last,-0.11334236369778712,0.005454717351434131,-0.17323477154908082
60,2,22,first__last,-0.07156356845516712,-0.006748216917427877,-0.046069380928141376
60,2,33,first__last,-0.04044469373766333,-0.006296547149152805,0.01138323318058004
60,2,44,first__last,-0.00889700574722762,0.00017255370039492846,-0.0200869944683897
60,2,55,first__last,0.0320734685092854,-9.462860568116108e-05,0.015037565084639937
60,3,11,first__last,0.5450840287686636,-0.0017600697814486922,0.5964555918898744
60,3,22,first__last,-0.5948484487016685,0.0022459831282806895,-0.6246432493363197
60,3,33,first__last,0.4499165988061577,-0.010177438353033115,0.9651179791078903
60,3,44,first__last,-0.005043110022476564,0.0004084059658149878,-0.036043598824956766
60,3,55,first__last,-0.013432443242830534,-0.0005698596437772115,-0.0014718343426162997
60,4,11,first__last,-0.13999642338603735,-0.000289162527769804,-0.16906436356172586
60,4,22,first__last,0.0006154632079415024,0.0020065176455924907,-0.001342282455880195
60,4,33,first__last,0.11622071456319343,0.00025716345213974516,0.10628578151809051
60,4,44,first__last,0.002206346074429651,0.00039048947704335056,0.000848624020970116
60,4,55,first__last,-0.0006828123548378547,-0.0002923247947668036,-0.00047331323536733787
60,5,11,first__last,2.3061886818303416,0.001750193105544895,2.2874688943615182
60,5,22,first__last,-7.670398335903882e-05,-0.001923335820902139,0.00010923794858778517
60,5,33,first__last,-0.006251588572437564,-0.00025166087240601577,-0.0033620921972518166
60,5,44,first__last,-0.0019097371531339982,0.0004928427515551448,-0.004118721540241192
60,5,55,first__last,-0.00013907323979462188,-2.972108389561375e-05,-0.000162489153444767
60,6,11,first__last,0.00839099584069724,-0.00019968301445866626,0.009573029319290072
