accuracy_minus_baseline,baseline_accuracy,correct,mode,seed,task_family,variant
-0.8833333333333333,1.0,0.11666666666666667,closed,11,first,gated
-0.9,1.0,0.1,closed,11,last,gated
-0.8666666666666667,0.9666666666666667,0.1,closed,11,maximum,gated
-0.8666666666666667,1.0,0.13333333333333333,closed,11,middle,gated
-0.8166666666666667,0.9833333333333333,0.16666666666666666,closed,11,minimum,gated
-0.9166666666666666,1.0,0.08333333333333333,closed,22,first,gated
-0.8666666666666667,1.0,0.13333333333333333,closed,22,last,gated
-0.9166666666666666,0.9833333333333333,0.06666666666666667,closed,22,maximum,gated
-0.8666666666666667,1.0,0.13333333333333333,closed,22,middle,gated
-0.85,0.9833333333333333,0.13333333333333333,closed,22,minimum,gated
-0.9166666666666666,1.0,0.08333333333333333,closed,33,first,gated
-0.9333333333333333,1.0,0.06666666666666667,closed,33,last,gated
-1.0,1.0,0.0,closed,33,maximum,gated
-0.8833333333333333,1.0,0.11666666666666667,closed,33,middle,gated
-0.8833333333333333,0.9833333333333333,0.1,closed,33,minimum,gated
-0.9,1.0,0.1,closed,44,first,gated
-0.8666666666666667,1.0,0.13333333333333333,closed,44,last,gated
-0.8666666666666666,0.9833333333333333,0.11666666666666667,closed,44,maximum,gated
-0.9333333333333333,1.0,0.06666666666666667,closed,44,middle,gated
-0.8,0.9666666666666667,0.16666666666666666,closed,44,minimum,gated
-0.8666666666666667,1.0,0.13333333333333333,closed,55,first,gated
-0.9,1.0,0.1,closed,55,last,gated
-0.8,0.9666666666666667,0.16666666666666666,closed,55,maximum,gated
-0.95,1.0,0.05,closed,55,middle,gated
-0.8666666666666666,0.9833333333333333,0.11666666666666667,closed,55,minimum,gated
0.0,1.0,1.0,mean,11,first,gated
0.0,1.0,1.0,mean,11,last,gated
-0.01666666666666672,0.9666666666666667,0.95,mean,11,maximum,gated
0.0,1.0,1.0,mean,11,middle,gated
0.01666666666666672,0.9833333333333333,1.0,mean,11,minimum,gated
0.0,1.0,1.0,mean,22,first,gated
0.0,1.0,1.0,mean,22,last,gated
-0.06666666666666665,0.9833333333333333,0.9166666666666666,mean,22,maximum,gated
0.0,1.0,1.0,mean,22,middle,gated
-0.016666666666666607,0.9833333333333333,0.9666666666666667,mean,22,minimum,gated
0.0,1.0,1.0,mean,33,first,gated
0.0,1.0,1.0,mean,33,last,gated
-0.01666666666666672,1.0,0.9833333333333333,mean,33,maximum,gated
0.0,1.0,1.0,mean,33,middle,gated
-0.033333333333333326,0.9833333333333333,0.95,mean,33,minimum,gated
0.0,1.0,1.0,mean,44,first,gated
0.0,1.0,1.0,mean,44,last,gated
0.0,0.9833333333333333,0.9833333333333333,mean,44,maximum,gated
0.0,1.0,1.0,mean,44,middle,gated
0.016666666666666607,0.9666666666666667,0.9833333333333333,mean,44,minimum,gated
0.0,1.0,1.0,mean,55,first,gated
0.0,1.0,1.0,mean,55,last,gated
-0.15000000000000002,0.9666666666666667,0.8166666666666667,mean,55,maximum,gated
0.0,1.0,1.0,mean,55,middle,gated
-0.033333333333333326,0.9833333333333333,0.95,mean,55,minimum,gated
0.0,1.0,1.0,native,11,first,gated
0.0,1.0,1.0,native,11,last,gated
0.0,0.9666666666666667,0.9666666666666667,native,11,maximum,gated
0.0,1.0,1.0,native,11,middle,gated
0.01666666666666672,0.9833333333333333,1.0,native,11,minimum,gated
0.0,1.0,1.0,native,22,first,gated
0.0,1.0,1.0,native,22,last,gated
-0.06666666666666665,0.9833333333333333,0.9166666666666666,native,22,maximum,gated
0.0,1.0,1.0,native,22,middle,gated
0.01666666666666672,0.9833333333333333,1.0,native,22,minimum,gated
0.0,1.0,1.0,native,33,first,gated
0.0,1.0,1.0,native,33,last,gated
0.0,1.0,1.0,native,33,maximum,gated
0.0,1.0,1.0,native,33,middle,gated
-0.016666666666666607,0.9833333333333333,0.9666666666666667,native,33,minimum,gated
0.0,1.0,1.0,native,44,first,gated
0.0,1.0,1.0,native,44,last,gated
0.0,0.9833333333333333,0.9833333333333333,native,44,maximum,gated
0.0,1.0,1.0,native,44,middle,gated
0.016666666666666607,0.9666666666666667,0.9833333333333333,native,44,minimum,gated
0.0,1.0,1.0,native,55,first,gated
0.0,1.0,1.0,native,55,last,gated
0.016666666666666607,0.9666666666666667,0.9833333333333333,native,55,maximum,gated
0.0,1.0,1.0,native,55,middle,gated
0.0,0.9833333333333333,0.9833333333333333,native,55,minimum,gated
0.0,1.0,1.0,open,11,first,gated
0.0,1.0,1.0,open,11,last,gated
0.016666666666666607,0.9666666666666667,0.9833333333333333,open,11,maximum,gated
0.0,1.0,1.0,open,11,middle,gated
0.01666666666666672,0.9833333333333333,1.0,open,11,minimum,gated
0.0,1.0,1.0,open,22,first,gated
0.0,1.0,1.0,open,22,last,gated
-0.04999999999999993,0.9833333333333333,0.9333333333333333,open,22,maximum,gated
0.0,1.0,1.0,open,22,middle,gated
-0.016666666666666607,0.9833333333333333,0.9666666666666667,open,22,minimum,gated
0.0,1.0,1.0,open,33,first,gated
0.0,1.0,1.0,open,33,last,gated
-0.01666666666666672,1.0,0.9833333333333333,open,33,maximum,gated
0.0,1.0,1.0,open,33,middle,gated
-0.016666666666666607,0.9833333333333333,0.9666666666666667,open,33,minimum,gated
0.0,1.0,1.0,open,44,first,gated
