checkpoint,cycle,depth,device,experiment,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,parameters,revision,run_id,seed,tokens_seen,training_seconds,training_steps,variant,width
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-11/model.pt,C,16,cuda,C1,0.99,0.0351419295867284,1.0,0.0084792078534762,549322,1,baseline-seed-11,11,924168,102.6592423999682,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-22/model.pt,C,16,cuda,C1,0.9933333333333332,0.0232466783126195,0.9966666666666668,0.0152735675374666,549322,1,baseline-seed-22,22,924168,92.98014830006288,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-33/model.pt,C,16,cuda,C1,0.9966666666666668,0.0225412746270497,0.9933333333333332,0.021149364610513,549322,1,baseline-seed-33,33,924168,91.20084799989128,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-44/model.pt,C,16,cuda,C1,0.99,0.029251051445802,0.9966666666666668,0.0137657729784647,549322,1,baseline-seed-44,44,924168,95.60724150016904,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/baseline/seed-55/model.pt,C,16,cuda,C1,0.99,0.0308440422018369,1.0,0.005218330224355,549322,1,baseline-seed-55,55,924168,93.24976209993474,456,baseline,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-11/model.pt,C,16,cuda,C1,0.9933333333333332,0.0302729745705922,1.0,0.0087099195520083,549338,1,static_scale-seed-11,11,924168,98.60060989996418,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-22/model.pt,C,16,cuda,C1,0.99,0.0281899384657541,0.9966666666666668,0.0132433759669462,549338,1,static_scale-seed-22,22,924168,96.18585720006377,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-33/model.pt,C,16,cuda,C1,0.9933333333333332,0.0269288762410481,0.9933333333333332,0.0180738669633865,549338,1,static_scale-seed-33,33,924168,96.8304457999766,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-44/model.pt,C,16,cuda,C1,0.9866666666666668,0.0383249254028002,0.99,0.0305887870987256,549338,1,static_scale-seed-44,44,924168,92.68455319991337,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/static_scale/seed-55/model.pt,C,16,cuda,C1,0.99,0.03201773583889,1.0,0.0052970898151397,549338,1,static_scale-seed-55,55,924168,89.55324669997208,456,static_scale,64
artifacts/cycle_c/c1_learning_curves/runs/gated/seed-11/model.pt,C,16,cuda,C1,0.9933333333333332,0.0312566205859184,0.9966666666666668,0.0103536775708198,550362,1,gated-seed-11,11,924168,97.0714523999486,456,gated,64
artifacts/cycle_c/c1_learning_curves/runs/gated/seed-22/model.pt,C,16,cuda,C1,0.9833333333333332,0.0825388097763061,0.98,0.0459890170892079,550362,1,gated-seed-22,22,924168,97.0629408999812,456,gated,64
artifacts/cycle_c/c1_learning_curves/runs/gated/seed-33/model.pt,C,16,cuda,C1,0.9933333333333332,0.0317482011516888,1.0,0.0084801575541496,550362,1,gated-seed-33,33,924168,98.43707460002042,456,gated,64
artifacts/cycle_c/c1_learning_curves/runs/gated/seed-44/model.pt,C,16,cuda,C1,0.99,0.0270111697912216,0.99,0.026463137169679,550362,1,gated-seed-44,44,924168,100.94936350011268,456,gated,64
artifacts/cycle_c/c1_learning_curves/runs/gated/seed-55/model.pt,C,16,cuda,C1,0.9933333333333332,0.026162122040987,0.9966666666666668,0.011584422190984,550362,1,gated-seed-55,55,924168,104.81832720013335,456,gated,64
artifacts/cycle_c/c1_learning_curves/runs/sa_ff_gated/seed-11/model.pt,C,16,cuda,C1,0.9933333333333332,0.044770904580752,1.0,0.0095422781507174,551402,1,sa_ff_gated-seed-11,11,924168,104.21266379998995,456,sa_ff_gated,64
artifacts/cycle_c/c1_learning_curves/runs/sa_ff_gated/seed-22/model.pt,C,16,cuda,C1,0.9933333333333332,0.0445218604803085,0.9933333333333332,0.0409337210655212,551402,1,sa_ff_gated-seed-22,22,924168,114.9804799000267,456,sa_ff_gated,64
artifacts/cycle_c/c1_learning_curves/runs/sa_ff_gated/seed-33/model.pt,C,16,cuda,C1,0.9966666666666668,0.0177245117227236,0.9933333333333332,0.0191998291015625,551402,1,sa_ff_gated-seed-33,33,924168,111.56951679987831,456,sa_ff_gated,64
artifacts/cycle_c/c1_learning_curves/runs/sa_ff_gated/seed-44/model.pt,C,16,cuda,C1,0.99,0.0414023778835932,0.99,0.0302106450994809,551402,1,sa_ff_gated-seed-44,44,924168,117.57700389996172,456,sa_ff_gated,64
artifacts/cycle_c/c1_learning_curves/runs/sa_ff_gated/seed-55/model.pt,C,16,cuda,C1,0.99,0.0193395606676737,1.0,0.0048029221594333,551402,1,sa_ff_gated-seed-55,55,924168,114.69514849991538,456,sa_ff_gated,64
