depth,difference_ci95_high,difference_ci95_low,difference_mean,difficulty_regime,metric,paired_seed_n,reference,sweep,variant
4,0.008978920057415962,0.0007553489995189011,0.005667448043823242,mixed,learning_curve_auc,5,baseline,depth,static_scale
4,0.025999998673796654,0.00866666715592146,0.01666666753590107,mixed,final_val_accuracy,5,baseline,depth,static_scale
4,0.012666666880249977,-0.018000001087784767,-0.002666666405275464,mixed,final_test_accuracy,5,baseline,depth,static_scale
4,0.009878678247332573,6.975819997023791e-05,0.005346086807549,mixed,learning_curve_auc,5,baseline,depth,gated
4,0.036000002175569534,0.01599999889731407,0.025999998673796654,mixed,final_val_accuracy,5,baseline,depth,gated
4,0.02333333157002926,-0.006000000052154064,0.007999999448657036,mixed,final_test_accuracy,5,baseline,depth,gated
4,0.012104513123631477,0.0020286862272769213,0.006974378135055304,mixed,learning_curve_auc,5,baseline,depth,sa_ff_gated
4,0.03333333134651184,-0.0033333334140479565,0.013999998569488525,mixed,final_val_accuracy,5,baseline,depth,sa_ff_gated
4,0.015333333984017372,-0.030666667968034744,-0.009333333000540733,mixed,final_test_accuracy,5,baseline,depth,sa_ff_gated
8,0.0075132278725504875,-0.001734147546812892,0.0027899793349206448,mixed,learning_curve_auc,5,baseline,depth,static_scale
8,0.029999997466802597,0.0006666664266958833,0.01666666567325592,mixed,final_val_accuracy,5,baseline,depth,static_scale
8,0.01133333332836628,-0.030000001192092896,-0.007333333604037762,mixed,final_test_accuracy,5,baseline,depth,static_scale
8,0.005792156793177128,-0.0035196964163333178,0.0011362303048372269,mixed,learning_curve_auc,5,baseline,depth,gated
8,0.018000001087784767,0.0026666666381061077,0.00866666715592146,mixed,final_val_accuracy,5,baseline,depth,gated
8,-0.009999999776482582,-0.05533333495259285,-0.03266666829586029,mixed,final_test_accuracy,5,baseline,depth,gated
8,0.014762354083359241,-0.004379825200885534,0.00519126420840621,mixed,learning_curve_auc,5,baseline,depth,sa_ff_gated
8,0.02800000086426735,-0.019333332777023315,0.006666666362434626,mixed,final_val_accuracy,5,baseline,depth,sa_ff_gated
8,0.002666666405275464,-0.03266666457056999,-0.017999999225139618,mixed,final_test_accuracy,5,baseline,depth,sa_ff_gated
12,0.005264888517558575,-0.00036022026324644685,0.0023690282832831144,mixed,learning_curve_auc,5,baseline,depth,static_scale
12,0.046666666865348816,0.0006666666595265269,0.01666666567325592,mixed,final_val_accuracy,5,baseline,depth,static_scale
12,0.025999998673796654,-0.007333333604037762,0.009333332069218159,mixed,final_test_accuracy,5,baseline,depth,static_scale
12,0.005597041919827461,0.00044505769619718194,0.003020680509507656,mixed,learning_curve_auc,5,baseline,depth,gated
12,0.018666666001081467,-0.003333333181217313,0.006666666828095913,mixed,final_val_accuracy,5,baseline,depth,gated
12,0.03933333605527878,0.004666666500270367,0.018666666001081467,mixed,final_test_accuracy,5,baseline,depth,gated
12,0.011682515032589436,0.003856347408145666,0.007634649984538555,mixed,learning_curve_auc,5,baseline,depth,sa_ff_gated
12,0.0026666666381061077,-0.025999998673796654,-0.01066666655242443,mixed,final_val_accuracy,5,baseline,depth,sa_ff_gated
12,0.02266666665673256,0.0006666667759418488,0.012000000104308128,mixed,final_test_accuracy,5,baseline,depth,sa_ff_gated
16,0.0008069025352597237,-0.0009095314890146255,-2.2672571503790095e-05,mixed,learning_curve_auc,5,baseline,depth,static_scale
16,0.029333334416151047,-0.009333333000540733,0.01066666655242443,mixed,final_val_accuracy,5,baseline,depth,static_scale
16,0.02866666577756405,-0.019999999552965164,0.007333333604037762,mixed,final_test_accuracy,5,baseline,depth,static_scale
16,0.0021908567287027836,-0.007319205440580845,-0.0021038323175162077,mixed,learning_curve_auc,5,baseline,depth,gated
16,0.03333333134651184,-0.02266666665673256,0.006666666362434626,mixed,final_val_accuracy,5,baseline,depth,gated
16,0.006666666362434626,-0.06469999998807907,-0.030000001192092896,mixed,final_test_accuracy,5,baseline,depth,gated
16,0.005321997683495283,-0.004720210563391447,0.00025470793480053544,mixed,learning_curve_auc,5,baseline,depth,sa_ff_gated
16,0.01133333332836628,-0.03999999910593033,-0.00866666715592146,mixed,final_val_accuracy,5,baseline,depth,sa_ff_gated
16,-0.0026666666381061077,-0.0560000017285347,-0.02800000086426735,mixed,final_test_accuracy,5,baseline,depth,sa_ff_gated
16,0.0024048357736319304,-0.001892443047836423,0.0003647456760518253,high,learning_curve_auc,5,baseline,difficulty,static_scale
16,0.0,-0.003999999724328518,-0.0013333333190530539,high,final_val_accuracy,5,baseline,difficulty,static_scale
16,0.0013333333190530539,-0.0033333334140479565,-0.0013333333190530539,high,final_test_accuracy,5,baseline,difficulty,static_scale
16,0.005673483479768038,-0.010146538726985455,-0.0037314998917281628,high,learning_curve_auc,5,baseline,difficulty,gated
16,0.001999999862164259,-0.012000000104308128,-0.004666666500270367,high,final_val_accuracy,5,baseline,difficulty,gated
16,0.0026666666381061077,-0.006000000052154064,-0.0013333333190530539,high,final_test_accuracy,5,baseline,difficulty,gated
16,0.010213633067905903,-0.0033935061655938625,0.0032805209048092365,high,learning_curve_auc,5,baseline,difficulty,sa_ff_gated
16,0.0,-0.004666666500270367,-0.001999999862164259,high,final_val_accuracy,5,baseline,difficulty,sa_ff_gated
16,0.001999999862164259,0.0,0.0006666666595265269,high,final_test_accuracy,5,baseline,difficulty,sa_ff_gated
16,0.008487671613693237,-0.004783258307725191,0.0007573087932541966,low,learning_curve_auc,5,baseline,difficulty,static_scale
16,0.024000000208616257,-0.019333332777023315,-3.7252903539730653e-10,low,final_val_accuracy,5,baseline,difficulty,static_scale
16,0.00866666715592146,-0.005333333276212215,0.0006666667759418488,low,final_test_accuracy,5,baseline,difficulty,static_scale
16,0.006654133088886738,-0.004186368081718683,0.0018634300213307142,low,learning_curve_auc,5,baseline,difficulty,gated
16,-0.0026666666381061077,-0.014666666276752949,-0.007999999448657036,low,final_val_accuracy,5,baseline,difficulty,gated
16,0.01066666655242443,0.004000000189989805,0.007333333604037762,low,final_test_accuracy,5,baseline,difficulty,gated
16,0.007953917607665062,-0.0027989079244434834,0.0039018080569803715,low,learning_curve_auc,5,baseline,difficulty,sa_ff_gated
