depth,difficulty_regime,final_test_accuracy,final_test_loss,final_val_accuracy,final_val_loss,learning_curve_auc,seed,sweep,tokens_seen,training_seconds,training_steps,variant
4,mixed,0.8066666666666666,0.7482732518513997,0.8633333333333333,0.4395473353068034,0.5563890974207446,11,depth,999048,25.050875700078905,456,baseline
4,mixed,0.6233333333333333,1.614408276875814,0.6033333333333334,1.5012120056152343,0.49229138306334297,22,depth,999048,26.126462900079787,456,baseline
4,mixed,0.5,2.080974248250325,0.5166666666666667,1.9331389617919923,0.3957476267406571,33,depth,999048,27.22204239992425,456,baseline
4,mixed,0.96,0.1517291275660197,0.9633333333333334,0.08208701531092326,0.688653865146286,44,depth,999048,27.02369309985079,456,baseline
4,mixed,0.75,0.8604149500528971,0.7633333333333333,0.847183100382487,0.5344628569731718,55,depth,999048,26.25325409998186,456,baseline
4,mixed,0.81,0.7786728541056315,0.89,0.3953048006693522,0.552023311192255,11,depth,999048,28.49453889997676,456,gated
4,mixed,0.64,1.588188730875651,0.64,1.383008041381836,0.4988300612182798,22,depth,999048,29.693188600009307,456,gated
4,mixed,0.4866666666666667,2.127936147054037,0.5266666666666666,1.9048956044514973,0.4024707021084071,33,depth,999048,27.83689639996737,456,gated
4,mixed,0.9566666666666668,0.1961063496271769,0.98,0.0651172387599945,0.6939782105898148,44,depth,999048,27.686246099881828,456,gated
4,mixed,0.7866666666666666,0.7659671401977539,0.8033333333333333,0.6403706487019857,0.546972979943573,55,depth,999048,27.1629521001596,456,gated
4,mixed,0.76,0.913104248046875,0.86,0.5650026957194011,0.55468014049375,11,depth,999048,30.12030449998565,456,sa_ff_gated
4,mixed,0.62,1.5418195088704427,0.6533333333333333,1.3998138936360678,0.5014347775749181,22,depth,999048,30.64546740008518,456,sa_ff_gated
4,mixed,0.48,2.05108154296875,0.5033333333333333,1.8662892659505208,0.4002680752075976,33,depth,999048,30.286575200036168,456,sa_ff_gated
4,mixed,0.95,0.1963950030008951,0.9833333333333333,0.05388439218203227,0.6950283169577437,44,depth,999048,30.16482560010627,456,sa_ff_gated
4,mixed,0.7833333333333333,0.8309301058451335,0.78,0.7310204696655274,0.5510054121523692,55,depth,999048,31.220115600153804,456,sa_ff_gated
4,mixed,0.7866666666666666,0.7928243001302083,0.8666666666666667,0.4952003669738769,0.5648872393184979,11,depth,999048,26.72277440014296,456,static_scale
4,mixed,0.5966666666666667,1.738208999633789,0.6166666666666667,1.5631307729085286,0.49725086949442526,22,depth,999048,26.818255100166425,456,static_scale
4,mixed,0.5033333333333333,2.0756886291503904,0.5333333333333333,1.8591832733154297,0.3922116738468354,33,depth,999048,29.58490449981764,456,static_scale
4,mixed,0.9733333333333334,0.1314107346534729,0.98,0.05607057770093282,0.6976443123853908,44,depth,999048,27.39203349989839,456,static_scale
4,mixed,0.7666666666666667,0.8236415990193685,0.7966666666666666,0.7131892522176106,0.5438879746852335,55,depth,999048,27.4541582998354,456,static_scale
8,mixed,0.9133333333333332,0.2765767574310303,0.9566666666666667,0.12649155219395955,0.6389428719474273,11,depth,999048,45.85523759992793,456,baseline
8,mixed,0.8633333333333333,0.5829795900980631,0.92,0.31376593589782714,0.6130384342560784,22,depth,999048,46.7289992000442,456,baseline
8,mixed,0.8466666666666667,0.5405941645304362,0.8966666666666666,0.3266631317138672,0.617991557963181,33,depth,999048,46.75880010006949,456,baseline
8,mixed,0.74,1.1156003824869791,0.76,0.928577667872111,0.5440039651081163,44,depth,999048,44.99960280000232,456,baseline
