layer,mean_residual_cosine,mean_residual_delta_norm,mean_utility_delta,negative_seed_count,positive_seed_count,replicated_goal_effect,seed_ci_high,seed_ci_low,task_pair
0,0.33825687844720154,11.115866169399686,0.031138664111495018,2,3,False,0.09236045926809311,-0.030083129182457924,maximum__minimum
1,0.22951246813870965,13.280402000215318,0.04994567111134529,2,3,False,0.31805220246315,-0.21816083788871765,maximum__minimum
2,0.16821035459637643,18.053642840915256,-0.04539928957819939,3,2,False,0.04791475459933281,-0.14934013783931732,maximum__minimum
3,0.21157802077838117,22.78305814107259,0.0654543787240982,0,3,False,0.14310459792613983,0.002901857253164053,maximum__minimum
0,0.34304190741231044,11.346445357004802,0.2376478910446167,0,5,True,0.3340003490447998,0.15174204111099243,maximum__sum_mod_10
1,0.2950283581339237,13.342119909922282,0.26202327013015747,0,5,True,0.4310101568698883,0.09303642064332962,maximum__sum_mod_10
2,0.3570837503381901,16.545721371968586,0.17716184258460999,0,5,True,0.24092622101306915,0.11438435316085815,maximum__sum_mod_10
3,0.4387601681384775,20.762792822519938,0.2033233642578125,0,5,True,0.2722508907318115,0.13882574439048767,maximum__sum_mod_10
0,0.4160902207220594,10.57642196946674,0.20650920271873474,0,5,True,0.2901290953159332,0.12915794551372528,minimum__sum_mod_10
1,0.4470309261770712,12.062192275789048,0.21207761764526367,0,5,True,0.350679874420166,0.09813133627176285,minimum__sum_mod_10
2,0.4904883134489258,14.568858113818699,0.22256112098693848,0,5,True,0.3042448163032532,0.1408773958683014,minimum__sum_mod_10
3,0.5196603666784034,18.986103284623887,0.1378689855337143,0,5,True,0.1834442913532257,0.09735642373561859,minimum__sum_mod_10
