absolute_utility_delta,attention_entropy_delta,both_learned_tasks,family_id,identifiability_a,identifiability_b,identifiability_delta,intent_a,intent_b,layer,residual_cosine,residual_delta_norm,seed,target_probability_delta,task_pair,utility_a,utility_b,utility_delta
0.38010087609291077,-0.15220820903778076,True,family-00300,1.0,0.5,0.5,maximum,minimum,0,0.4863811731338501,10.679941177368164,11,-0.6233270466327667,maximum__minimum,-0.015794217586517334,0.36430665850639343,-0.38010087609291077
0.059626080095767975,-0.35364699363708496,True,family-00300,1.0,0.5,0.5,maximum,minimum,1,0.42545580863952637,12.516571998596191,11,-0.6233270466327667,maximum__minimum,0.06792537122964859,0.008299291133880615,0.059626080095767975
0.06684964895248413,0.49232661724090576,True,family-00300,1.0,0.5,0.5,maximum,minimum,2,0.19755853712558746,18.171112060546875,11,-0.6233270466327667,maximum__minimum,-0.02328282594680786,0.04356682300567627,-0.06684964895248413
0.051945723593235016,-0.2200993299484253,True,family-00300,1.0,0.5,0.5,maximum,minimum,3,0.0833817720413208,25.209245681762695,11,-0.6233270466327667,maximum__minimum,0.10435948520898819,0.052413761615753174,0.051945723593235016
0.02883979305624962,-1.073060393333435,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,0,0.21494239568710327,12.63983154296875,11,0.11756729334592819,maximum__sum_mod_10,-0.015794217586517334,0.013045575469732285,-0.02883979305624962
0.07265602424740791,-1.3614845275878906,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,1,0.20034867525100708,12.77281665802002,11,0.11756729334592819,maximum__sum_mod_10,0.06792537122964859,-0.004730653017759323,0.07265602424740791
0.03690120577812195,-0.40784358978271484,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,2,0.1465572863817215,16.828760147094727,11,0.11756729334592819,maximum__sum_mod_10,-0.02328282594680786,0.013618379831314087,-0.03690120577812195
0.16246408224105835,-0.29653990268707275,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,3,0.3681589365005493,18.45406150817871,11,0.11756729334592819,maximum__sum_mod_10,0.10435948520898819,-0.05810459703207016,0.16246408224105835
0.35126108303666115,-0.9208521842956543,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,0,0.23093467950820923,12.990079879760742,11,0.7408943399786949,minimum__sum_mod_10,0.36430665850639343,0.013045575469732285,0.35126108303666115
0.013029944151639938,-1.0078375339508057,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,1,0.30905458331108093,14.08749008178711,11,0.7408943399786949,minimum__sum_mod_10,0.008299291133880615,-0.004730653017759323,0.013029944151639938
0.029948443174362183,-0.9001702070236206,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,2,0.4619046151638031,14.996990203857422,11,0.7408943399786949,minimum__sum_mod_10,0.04356682300567627,0.013618379831314087,0.029948443174362183
0.11051835864782333,-0.07644057273864746,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,3,0.3463313579559326,21.299222946166992,11,0.7408943399786949,minimum__sum_mod_10,0.052413761615753174,-0.05810459703207016,0.11051835864782333
0.05310055846348405,-0.22043395042419434,True,family-00301,0.5,0.0,0.5,maximum,minimum,0,0.5218903422355652,10.148918151855469,11,0.9282471779733896,maximum__minimum,0.05284380912780762,-0.00025674933567643166,0.05310055846348405
0.9308043047785759,-0.8232811987400055,True,family-00301,0.5,0.0,0.5,maximum,minimum,1,0.4091211259365082,12.087038040161133,11,0.9282471779733896,maximum__minimum,0.8976115584373474,-0.033192746341228485,0.9308043047785759
0.2188989222049713,1.9082441329956055,True,family-00301,0.5,0.0,0.5,maximum,minimum,2,-0.08482995629310608,17.035947799682617,11,0.9282471779733896,maximum__minimum,0.029651165008544922,-0.1892477571964264,0.2188989222049713
0.3053988139145076,-1.0427579879760742,True,family-00301,0.5,0.0,0.5,maximum,minimum,3,-0.10169027000665665,23.00358772277832,11,0.9282471779733896,maximum__minimum,0.30513685941696167,-0.00026195449754595757,0.3053988139145076
0.07042448222637177,-0.5736277103424072,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,0,0.543102502822876,10.109786987304688,11,0.7798444926738739,maximum__sum_mod_10,0.05284380912780762,-0.017580673098564148,0.07042448222637177
0.9633682519197464,-0.962846428155899,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,1,0.27530476450920105,15.00283432006836,11,0.7798444926738739,maximum__sum_mod_10,0.8976115584373474,-0.06575669348239899,0.9633682519197464
0.01629144698381424,1.7626246213912964,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,2,0.38790249824523926,17.106992721557617,11,0.7798444926738739,maximum__sum_mod_10,0.029651165008544922,0.04594261199235916,-0.01629144698381424
0.27410975843667984,-0.10249269008636475,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,3,0.4398965537548065,21.100067138671875,11,0.7798444926738739,maximum__sum_mod_10,0.30513685941696167,0.03102710098028183,0.27410975843667984
