absolute_utility_delta,attention_entropy_delta,both_learned_tasks,family_id,identifiability_a,identifiability_b,identifiability_delta,intent_a,intent_b,layer,residual_cosine,residual_delta_norm,seed,target_probability_delta,task_pair,utility_a,utility_b,utility_delta
0.2443385124206543,0.5062146186828613,True,family-00300,1.0,0.5,0.5,maximum,minimum,0,0.12597191333770752,13.176913261413574,33,-0.08990806341171265,maximum__minimum,0.32541728019714355,0.08107876777648926,0.2443385124206543
0.5862019658088684,-1.0188138484954834,True,family-00300,1.0,0.5,0.5,maximum,minimum,1,-0.19402819871902466,17.483842849731445,33,-0.08990806341171265,maximum__minimum,0.7872409820556641,0.20103901624679565,0.5862019658088684
0.25748950242996216,2.169791877269745,True,family-00300,1.0,0.5,0.5,maximum,minimum,2,-0.14187252521514893,21.796253204345703,33,-0.08990806341171265,maximum__minimum,0.10327762365341187,0.360767126083374,-0.25748950242996216
0.551568329334259,0.44506192207336426,True,family-00300,1.0,0.5,0.5,maximum,minimum,3,-0.07117058336734772,29.463037490844727,33,-0.08990806341171265,maximum__minimum,0.6258010268211365,0.07423269748687744,0.551568329334259
0.4826943576335907,0.22977817058563232,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,0,0.41926395893096924,11.738190650939941,33,0.7295927107334137,maximum__sum_mod_10,0.32541728019714355,-0.15727707743644714,0.4826943576335907
0.7716362774372101,0.13711810111999512,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,1,0.13441477715969086,16.631120681762695,33,0.7295927107334137,maximum__sum_mod_10,0.7872409820556641,0.01560470461845398,0.7716362774372101
0.06458154693245888,1.971418857574463,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,2,0.3729829788208008,17.10599136352539,33,0.7295927107334137,maximum__sum_mod_10,0.10327762365341187,0.03869607672095299,0.06458154693245888
0.6561876982450485,0.18300080299377441,False,family-00300,1.0,0.0,1.0,maximum,sum_mod_10,3,0.4823223352432251,19.77048110961914,33,0.7295927107334137,maximum__sum_mod_10,0.6258010268211365,-0.03038667142391205,0.6561876982450485
0.2383558452129364,-0.276436448097229,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,0,0.38657891750335693,11.824544906616211,33,0.8195007741451263,minimum__sum_mod_10,0.08107876777648926,-0.15727707743644714,0.2383558452129364
0.18543431162834167,1.1559319496154785,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,1,0.4983145296573639,13.448116302490234,33,0.8195007741451263,minimum__sum_mod_10,0.20103901624679565,0.01560470461845398,0.18543431162834167
0.32207104936242104,-0.19837301969528198,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,2,0.2887471616268158,20.61479377746582,33,0.8195007741451263,minimum__sum_mod_10,0.360767126083374,0.03869607672095299,0.32207104936242104
0.10461936891078949,-0.26206111907958984,False,family-00300,0.5,0.0,0.5,minimum,sum_mod_10,3,0.30921196937561035,26.701038360595703,33,0.8195007741451263,minimum__sum_mod_10,0.07423269748687744,-0.03038667142391205,0.10461936891078949
0.09494875371456146,0.5127108097076416,True,family-00301,0.5,0.0,0.5,maximum,minimum,0,0.20214034616947174,13.473272323608398,33,0.8700507506728172,maximum__minimum,0.04408431053161621,-0.05086444318294525,0.09494875371456146
0.01569373905658722,-0.039562225341796875,True,family-00301,0.5,0.0,0.5,maximum,minimum,1,0.15700332820415497,14.544642448425293,33,0.8700507506728172,maximum__minimum,-0.019272804260253906,-0.003579065203666687,-0.01569373905658722
0.22879885137081146,0.6765563488006592,True,family-00301,0.5,0.0,0.5,maximum,minimum,2,0.11169794201850891,17.836753845214844,33,0.8700507506728172,maximum__minimum,0.23688989877700806,0.008091047406196594,0.22879885137081146
0.0388094037771225,0.03017711639404297,True,family-00301,0.5,0.0,0.5,maximum,minimum,3,0.18668772280216217,20.91295051574707,33,0.8700507506728172,maximum__minimum,0.08492815494537354,0.04611875116825104,0.0388094037771225
0.048163630068302155,-0.26493000984191895,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,0,0.4048917889595032,11.6300048828125,33,0.8511219173669815,maximum__sum_mod_10,0.04408431053161621,-0.004079319536685944,0.048163630068302155
0.06759201735258102,0.06338435411453247,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,1,0.4985436201095581,11.341039657592773,33,0.8511219173669815,maximum__sum_mod_10,-0.019272804260253906,0.04831921309232712,-0.06759201735258102
0.2632497251033783,0.059305429458618164,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,2,0.5634136199951172,13.25765323638916,33,0.8511219173669815,maximum__sum_mod_10,0.23688989877700806,-0.02635982632637024,0.2632497251033783
0.032545022666454315,0.45233702659606934,False,family-00301,0.5,1.0,-0.5,maximum,sum_mod_10,3,0.5479034185409546,17.041521072387695,33,0.8511219173669815,maximum__sum_mod_10,0.08492815494537354,0.05238313227891922,0.032545022666454315
0.04678512364625931,-0.7776408195495605,False,family-00301,0.0,1.0,-1.0,minimum,sum_mod_10,0,0.43323656916618347,11.341187477111816,33,-0.018928833305835724,minimum__sum_mod_10,-0.05086444318294525,-0.004079319536685944,-0.04678512364625931
0.051898278295993805,0.10294657945632935,False,family-00301,0.0,1.0,-1.0,minimum,sum_mod_10,1,0.2599092125892639,12.998245239257812,33,-0.018928833305835724,minimum__sum_mod_10,-0.003579065203666687,0.04831921309232712,-0.051898278295993805
0.034450873732566833,-0.617250919342041,False,family-00301,0.0,1.0,-1.0,minimum,sum_mod_10,2,0.2677937150001526,14.130565643310547,33,-0.018928833305835724,minimum__sum_mod_10,0.008091047406196594,-0.02635982632637024,0.034450873732566833
0.006264381110668182,0.42215991020202637,False,family-00301,0.0,1.0,-1.0,minimum,sum_mod_10,3,0.42948073148727417,16.016773223876953,33,-0.018928833305835724,minimum__sum_mod_10,0.04611875116825104,0.05238313227891922,-0.006264381110668182
0.36645618081092834,-0.8176203966140747,True,family-00302,0.0,1.0,-1.0,maximum,minimum,0,0.5874568223953247,9.651873588562012,33,0.013898730278015137,maximum__minimum,0.641494631767273,0.2750384509563446,0.36645618081092834
0.395356148481369,-0.6844137907028198,True,family-00302,0.0,1.0,-1.0,maximum,minimum,1,0.27894073724746704,13.281234741210938,33,0.013898730278015137,maximum__minimum,0.7325015664100647,0.3371454179286957,0.395356148481369
