control,mae,r2,seed,source_layer,target_layer
goal_latent,0.23722966080583563,-0.11453469011351869,11,0,1
current_residual,0.2141483427520764,0.03529897331162812,11,0,1
pooled_residual,0.1771641379122466,0.36169578360470067,11,0,1
moment_random,0.23078877650874605,-0.06598041033310853,11,0,1
shuffled_goal,0.24541911059121277,-0.17708202348849555,11,0,1
goal_latent,0.1451551021387493,0.03456792360019212,11,0,2
current_residual,0.1495916780799158,0.08738324098340045,11,0,2
pooled_residual,0.1318247198917458,0.23995040716463412,11,0,2
moment_random,0.1643511112730159,-0.14178677430774433,11,0,2
shuffled_goal,0.17361671860936675,-0.26573904533590187,11,0,2
goal_latent,0.07622488161620093,-0.0670068684816465,11,0,3
current_residual,0.07690266337828673,-0.03579308234581857,11,0,3
pooled_residual,0.07645494454764064,0.0094182567826675,11,0,3
moment_random,0.08582693248502364,-0.22880814728289334,11,0,3
shuffled_goal,0.08392143824621216,-0.19927474831956138,11,0,3
goal_latent,0.14486409502450948,0.08031594141376175,11,1,2
current_residual,0.12743690154487228,0.2635346686231115,11,1,2
pooled_residual,0.12823496191573627,0.2882573455235098,11,1,2
moment_random,0.15857950152171923,-0.06362355858197488,11,1,2
shuffled_goal,0.1674835282258767,-0.17329165461837448,11,1,2
goal_latent,0.07828347857773148,-0.06792702889312818,11,1,3
current_residual,0.07431599489914996,0.07155893544411085,11,1,3
pooled_residual,0.07513240904782066,0.03338246935675804,11,1,3
moment_random,0.08687209913902567,-0.2790000651479241,11,1,3
shuffled_goal,0.0790228450154278,-0.06499284641842218,11,1,3
goal_latent,0.07031869674253328,0.06911561077227202,11,2,3
current_residual,0.07484031713638857,0.04100980380799091,11,2,3
pooled_residual,0.07208781077122421,0.09947032116656718,11,2,3
moment_random,0.07959005985252221,-0.11364780413024,11,2,3
shuffled_goal,0.08493482748805342,-0.25927157099078,11,2,3
goal_latent,0.17378040452509658,0.17350105777650715,22,0,1
current_residual,0.1856216943315086,0.10831236697321978,22,0,1
pooled_residual,0.17719968401848235,0.19245601191573847,22,0,1
moment_random,0.22549605107036982,-0.21350468773285058,22,0,1
shuffled_goal,0.21103699655745528,-0.08345390428990052,22,0,1
goal_latent,0.2554520605017679,-0.03153735686253967,22,0,2
current_residual,0.22511737640789314,0.10181270165972234,22,0,2
pooled_residual,0.1916940547678613,0.3105180877083311,22,0,2
moment_random,0.26852542745667585,-0.11104587722962234,22,0,2
shuffled_goal,0.27041376862190586,-0.16268786644427102,22,0,2
goal_latent,0.07630133794948937,-0.12995769007730873,22,0,3
current_residual,0.08503432758171296,-0.32620218499320064,22,0,3
pooled_residual,0.08566252836466812,-0.276704910104814,22,0,3
moment_random,0.08074715206930648,-0.20571119374559488,22,0,3
shuffled_goal,0.08311126329221546,-0.25465017152500047,22,0,3
goal_latent,0.23560311366643816,0.08072915803717373,22,1,2
current_residual,0.20329012609126138,0.2430441526208894,22,1,2
pooled_residual,0.18943004015495332,0.3422125580861104,22,1,2
moment_random,0.27871264379178334,-0.2074140842271126,22,1,2
shuffled_goal,0.27112611157539496,-0.14564529962676187,22,1,2
goal_latent,0.07296925249408044,-0.0545500371889327,22,1,3
current_residual,0.09445892117463899,-0.49362582228485863,22,1,3
pooled_residual,0.08906406212939268,-0.3232876579190156,22,1,3
moment_random,0.07756416019935151,-0.11562411272401762,22,1,3
shuffled_goal,0.08154036910116448,-0.19589986058461917,22,1,3
goal_latent,0.07761185352049561,-0.09764776474244186,22,2,3
current_residual,0.09349773402504542,-0.5078087595474206,22,2,3
pooled_residual,0.0895961917393559,-0.3926782566174012,22,2,3
moment_random,0.08369639226026432,-0.24020922566045955,22,2,3
shuffled_goal,0.07922386499744043,-0.05492703253436937,22,2,3
goal_latent,0.21882069989269254,-0.09933814634808824,33,0,1
current_residual,0.17615103667818383,0.18850719963474982,33,0,1
pooled_residual,0.17095619848825797,0.31499157849466486,33,0,1
moment_random,0.22887132176403377,-0.20222538414590896,33,0,1
shuffled_goal,0.22061180122464732,-0.15206563705875276,33,0,1
goal_latent,0.1760422781014132,-0.06298337880345284,33,0,2
current_residual,0.16748971634447898,0.014520889050399943,33,0,2
pooled_residual,0.16048656340927098,0.12995730546150963,33,0,2
moment_random,0.18408623611679759,-0.25691424923940587,33,0,2
shuffled_goal,0.1755669640412308,-0.14131252109337922,33,0,2
goal_latent,0.12968416839578625,0.00859564931154011,33,0,3
current_residual,0.11425891047080243,0.1573886444660878,33,0,3
pooled_residual,0.11563153776003374,0.18741048361920354,33,0,3
moment_random,0.13663388675999735,-0.15296594889664705,33,0,3
